Price,Close,High,Low,Open,Volume
Date,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS
8/3/2023,766.317810058593,772.411911551543,746.549266222765,754.526054496189,4135776
8/4/2023,768.200561523437,772.808302724315,761.759666779932,769.389661879808,2758619
8/7/2023,784.203735351562,787.424182737547,764.187404118025,769.984185220735,4175164
8/8/2023,777.069213867187,797.680065577378,757.350142091285,786.53236279757,11993737
8/9/2023,783.906433105468,799.513216953826,776.871018229383,785.491920451174,7007648
8/10/2023,795.500061035156,812.34547862762,784.798278425387,785.789185342591,8064730
8/11/2023,793.765930175781,803.08047887612,787.02777560625,799.562771609982,9040236
8/14/2023,779.992370605468,786.978251976012,764.088266882545,773.898269134053,17841454
8/16/2023,769.042846679687,778.852849510625,765.426072661531,778.852849510625,11481440
8/17/2023,802.287780761718,806.201814559339,769.785986665885,770.92555377162,14011644
8/18/2023,828.299072265625,841.874447925773,796.986379057894,799.661839688198,22502392
8/21/2023,850.346801757812,856.242649576582,830.875456492315,832.460883380022,17432300
8/22/2023,846.729919433593,861.09806903194,845.590352342352,856.04446819286,8037324
8/23/2023,818.191833496093,854.607661807166,812.642718608217,850.743100733111,4748732
8/24/2023,814.872314453125,836.721861307645,812.741900776988,826.416404730453,4692796
8/25/2023,799.265502929687,822.849136170618,796.193715648806,815.516400720556,4442243
8/28/2023,800.107788085937,816.507285176398,791.239159239507,808.58002998051,5067265
8/29/2023,816.061401367187,823.245476708828,792.775088190834,802.139170904591,5935085
8/30/2023,811.255493164062,825.425449773628,809.17455238074,820.470915261182,8592012
8/31/2023,784.996459960937,803.526431126741,780.537378901366,796.590082811853,9998925
9/1/2023,792.230041503906,800.652749887625,772.560564352813,772.907357564786,11900199
9/4/2023,793.765930175781,804.368645701446,788.315942431576,800.206824782568,12522148
9/5/2023,797.630493164062,803.526401107481,790.248224922982,797.680026411286,10483413
9/6/2023,799.711364746093,801.148191781002,793.171403699127,798.670924645006,6729598
9/7/2023,802.535522460937,805.557776409751,797.729587708089,802.337328984916,9787939
9/8/2023,817.498168945312,821.263602960787,802.783226096359,803.526406249945,11683222
9/11/2023,874.425842285156,879.132650255464,827.407295833099,832.361830538687,20638175
9/12/2023,850.941345214843,881.411733995462,845.293163491184,881.411733995462,8036897
9/13/2023,841.973571777343,859.31444184257,835.483143934675,851.188993487404,7180448
9/14/2023,842.072631835937,850.049419908949,833.352663622953,846.28398596245,6234825
9/15/2023,837.96044921875,846.829017642982,833.848161366945,838.307242443773,4013431
9/18/2023,823.69140625,840.338630996073,820.619618881914,840.338630996073,2801202
9/20/2023,810.611328125,829.98354474521,807.589074359929,824.434490634921,3016411
9/21/2023,823.542663574218,834.739959427671,812.54362166809,813.683188744199,6437320
9/22/2023,819.529541015625,831.073630613347,814.624539755815,826.317289580867,3156509
9/25/2023,818.142333984375,824.137308837102,811.503245432691,821.164588036064,2395763
